,Name,Location,Phone_1,Phone_2,Website,Register_Capital
825,บริษัท ศรีวิชัยเวชวิวัฒน์ จำกัด (มหาชน),เลขที่ 74/5 หมู่ 4 ถนนเพชรเกษม ตำบลอ้อมน้อย อำเภอกระทุ่มแบน สมุทรสาคร,0-2431-0070 และสายด่วน 1792,0-2431-1404,http://www.vichaivej.com,"570,666,666.00 บาท"
826,บริษัท วี.แอล.เอ็นเตอร์ไพรส์ จำกัด (มหาชน),41 ถนนอโศก-ดินแดง แขวงมักกะสัน เขตราชเทวี กทม.,0-2254-6604,0-2254-8749,http://www.vltanker.com,"600,000,000.00 บาท"
827,บริษัท วนชัย กรุ๊ป จำกัด (มหาชน),"2/1 ถนนวงศ์สว่าง แขวงวงศ์สว่าง, เขตบางซื่อ กทม.","0-2585-4900-3, 0-2913-2180-9",0-2587-9556,http://www.vanachai.com,"1,735,237,480.00 บาท"
828,บริษัท วิจิตรภัณฑ์ปาล์มออยล์ จำกัด (มหาชน),2044 อาคารชวนะนันท์ ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม.,0-2314-4101-5,0-2319-7989,http://www.vcbpalmoil.com,"940,000,000.00 บาท"
829,บริษัท วีรันดา รีสอร์ท จำกัด (มหาชน),เลขที่ 555 อาคารรสาทาวเวอร์ ยูนิต 2701-2704 ชั้น 27 ถนนพหลโยธิน แขวงจตุจักร เขตจตุจักร กทม.,0-2513-3003,0-2513-6844,https://www.verandaresort.com/,"1,750,000,000.00 บาท"
830,บริษัท วาว แฟคเตอร์ จำกัด (มหาชน),77/1 ซอยร่วมศิริมิตร แขวงจอมพล เขตจตุจักร กทม.,0-2093-1681-3,0-2093-1684,http://www.eicasia.net,"1,320,368,356.00 บาท"
831,บริษัท ไทยวาโก้ จำกัด (มหาชน),132 ซอยเจริญราษฎร์ 7 แขวงบางโคล่ เขตบางคอแหลม กทม.,"0-2289-3100-9, 0-2689-8300",0-2291-1788,http://www.wacoal.co.th,"120,000,000.00 บาท"
832,บริษัท เวฟ เอ็นเตอร์เทนเมนท์ จำกัด (มหาชน),อาคารมาลีนนท์ทาวเวอร์ ชั้น 15 เลขที่ 3199 ถนนพระราม 4 แขวงคลองตัน เขตคลองเตย กทม.,0-2665-6705,0-2665-6750,http://www.wave-groups.com,"707,536,887.50 บาท"
833,บริษัท เวิลด์เฟล็กซ์ จำกัด (มหาชน),เลขที่ 1/7 อาคารบางนาธานี ชั้นที่ 3 ห้อง 3B ซอยบางนา-ตราด 34 แขวงบางนาใต้ เขตบางนา กทม.,0-2398-7188,0-2398-7187,https://www.worldflex.net/,"464,200,000.00 บาท"
834,บริษัท เวล เกรด เอ็นจิเนียริ่ง จำกัด (มหาชน),เลขที่ 50/1203 หมู่ 9 ตำบลบางพูด อำเภอปากเกร็ด นนทบุรี,0-2981-7992?4,"0-2981-7995, 0-2981-7970",http://www.well-graded.com,"300,000,000.00 บาท"
835,บริษัท ดับบลิวเอชเอ คอร์ปอเรชั่น จำกัด (มหาชน),เลขที่ 777 อาคารดับบลิวเอชเอ ทาวเวอร์ ชั้น 23-25 หมู่ที่ 13 ถนนเทพรัตน (บางนา-ตราด) กม.7 ตำบลบางแก้ว อำเภอบางพลี สมุทรปราการ,0-2753-3750,0-2753-2750,http://www.wha.co.th,"1,567,773,018.60 บาท"
836,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าดับบลิวเอชเอ บิสซิเนส คอมเพล็กซ์,777 อาคารดับบลิวเอชเอ ทาวเวอร์ ชั้น 22 หมู่ที่ 13 ถนนเทพรัตน (บางนา-ตราด) กม.7 ตำบลบางแก้ว อำเภอบางพลี สมุทรปราการ,0-2753-3159,0-2753-3527,http://www.whabt.com,"1,922,777,400.00 บาท"
837,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ดับบลิวเอชเอ อินดัสเตรียล,เลขที่ 777 อาคารดับบลิวเอชเอ ทาวเวอร์ ห้อง 2206A ชั้น 22 หมู่ 13 ถนนเทพรัตน (บางนา-ตราด) กม. 7 ต. บางแก้ว อ. บางพลี สมุทรปราการ,0-2719-9557,0-2719-9553,http://www.hemarajreit.com,"8,499,671,292.24 บาท"
